AOBT,SCLK,LMST,LTST,UTC,PRESSURE,PRESSURE_FREQUENCY,PRESSURE_TEMP,PRESSURE_TEMP_FREQUENCY
599150437.000,599150423.400,00030M01:39:39.706,00030 00:50:06,2018-361T02:40:51.751Z,744.7538,2.0,,
599150437.500,599150423.900,00030M01:39:40.193,00030 00:50:07,2018-361T02:40:52.251Z,744.7571,2.0,,
599150438.000,599150424.400,00030M01:39:40.679,00030 00:50:07,2018-361T02:40:52.751Z,744.7697,2.0,,
599150438.500,599150424.900,00030M01:39:41.166,00030 00:50:08,2018-361T02:40:53.251Z,744.7457,2.0,,
599150439.000,599150425.400,00030M01:39:41.653,00030 00:50:08,2018-361T02:40:53.751Z,744.7394,2.0,,
599150439.500,599150425.900,00030M01:39:42.139,00030 00:50:09,2018-361T02:40:54.251Z,744.7440,2.0,281.1821,0.2
599150440.000,599150426.400,00030M01:39:42.626,00030 00:50:09,2018-361T02:40:54.751Z,744.7412,2.0,,
599150440.500,599150426.900,00030M01:39:43.112,00030 00:50:10,2018-361T02:40:55.251Z,744.7487,2.0,,
599150441.000,599150427.400,00030M01:39:43.599,00030 00:50:10,2018-361T02:40:55.751Z,744.7367,2.0,,
599150441.500,599150427.900,00030M01:39:44.086,00030 00:50:11,2018-361T02:40:56.251Z,744.7580,2.0,,
599150442.000,599150428.400,00030M01:39:44.572,00030 00:50:11,2018-361T02:40:56.751Z,744.7767,2.0,,
599150442.500,599150428.900,00030M01:39:45.059,00030 00:50:12,2018-361T02:40:57.251Z,744.7408,2.0,,
599150443.000,599150429.400,00030M01:39:45.546,00030 00:50:12,2018-361T02:40:57.751Z,744.7512,2.0,,
599150443.500,599150429.900,00030M01:39:46.032,00030 00:50:13,2018-361T02:40:58.251Z,744.7665,2.0,,
599150444.000,599150430.400,00030M01:39:46.519,00030 00:50:13,2018-361T02:40:58.751Z,744.7444,2.0,,
599150444.500,599150430.900,00030M01:39:47.005,00030 00:50:14,2018-361T02:40:59.251Z,744.7706,2.0,281.1811,0.2
599150445.000,599150431.400,00030M01:39:47.492,00030 00:50:14,2018-361T02:40:59.751Z,744.7810,2.0,,
599150445.500,599150431.900,00030M01:39:47.979,00030 00:50:15,2018-361T02:41:00.251Z,744.7510,2.0,,
599150446.000,599150432.400,00030M01:39:48.465,00030 00:50:15,2018-361T02:41:00.751Z,744.7498,2.0,,
599150446.500,599150432.900,00030M01:39:48.952,00030 00:50:16,2018-361T02:41:01.251Z,744.7527,2.0,,
599150447.000,599150433.400,00030M01:39:49.439,00030 00:50:16,2018-361T02:41:01.751Z,744.7537,2.0,,
599150447.500,599150433.900,00030M01:39:49.925,00030 00:50:17,2018-361T02:41:02.251Z,744.7522,2.0,,
599150448.000,599150434.400,00030M01:39:50.412,00030 00:50:17,2018-361T02:41:02.751Z,744.7434,2.0,,
599150448.500,599150434.900,00030M01:39:50.898,00030 00:50:18,2018-361T02:41:03.251Z,744.7489,2.0,,
599150449.000,599150435.400,00030M01:39:51.385,00030 00:50:18,2018-361T02:41:03.751Z,744.7599,2.0,,
599150449.500,599150435.900,00030M01:39:51.872,00030 00:50:19,2018-361T02:41:04.251Z,744.7730,2.0,281.1801,0.2
599150450.000,599150436.400,00030M01:39:52.358,00030 00:50:19,2018-361T02:41:04.751Z,744.7823,2.0,,
599150450.500,599150436.900,00030M01:39:52.845,00030 00:50:19,2018-361T02:41:05.251Z,744.7731,2.0,,
599150451.000,599150437.400,00030M01:39:53.332,00030 00:50:20,2018-361T02:41:05.751Z,744.7627,2.0,,
599150451.500,599150437.900,00030M01:39:53.818,00030 00:50:20,2018-361T02:41:06.251Z,744.7581,2.0,,
599150452.000,599150438.400,00030M01:39:54.305,00030 00:50:21,2018-361T02:41:06.751Z,744.7542,2.0,,
599150452.500,599150438.900,00030M01:39:54.791,00030 00:50:21,2018-361T02:41:07.251Z,744.7566,2.0,,
599150453.000,599150439.399,00030M01:39:55.277,00030 00:50:22,2018-361T02:41:07.750Z,744.7659,2.0,,
599150453.500,599150439.899,00030M01:39:55.764,00030 00:50:22,2018-361T02:41:08.250Z,744.7505,2.0,,
599150454.000,599150440.399,00030M01:39:56.250,00030 00:50:23,2018-361T02:41:08.750Z,744.7458,2.0,,
599150454.500,599150440.899,00030M01:39:56.737,00030 00:50:23,2018-361T02:41:09.250Z,744.7793,2.0,281.1791,0.2
599150455.000,599150441.399,00030M01:39:57.224,00030 00:50:24,2018-361T02:41:09.750Z,744.7736,2.0,,
599150455.500,599150441.899,00030M01:39:57.710,00030 00:50:24,2018-361T02:41:10.250Z,744.7591,2.0,,
599150456.000,599150442.399,00030M01:39:58.197,00030 00:50:25,2018-361T02:41:10.750Z,744.7589,2.0,,
599150456.500,599150442.899,00030M01:39:58.683,00030 00:50:25,2018-361T02:41:11.250Z,744.7759,2.0,,
599150457.000,599150443.399,00030M01:39:59.170,00030 00:50:26,2018-361T02:41:11.750Z,744.7949,2.0,,
599150457.500,599150443.899,00030M01:39:59.657,00030 00:50:26,2018-361T02:41:12.250Z,744.7675,2.0,,
599150458.000,599150444.399,00030M01:40:00.143,00030 00:50:27,2018-361T02:41:12.750Z,744.7696,2.0,,
599150458.500,599150444.899,00030M01:40:00.630,00030 00:50:27,2018-361T02:41:13.251Z,744.7660,2.0,,
599150459.000,599150445.399,00030M01:40:01.117,00030 00:50:28,2018-361T02:41:13.751Z,744.7638,2.0,,
599150459.500,599150445.899,00030M01:40:01.603,00030 00:50:28,2018-361T02:41:14.251Z,744.7960,2.0,281.1776,0.2
599150460.000,599150446.399,00030M01:40:02.090,00030 00:50:29,2018-361T02:41:14.751Z,744.7838,2.0,,
599150460.500,599150446.899,00030M01:40:02.576,00030 00:50:29,2018-361T02:41:15.251Z,744.7755,2.0,,
599150461.000,599150447.399,00030M01:40:03.063,00030 00:50:30,2018-361T02:41:15.751Z,744.7780,2.0,,
599150461.500,599150447.899,00030M01:40:03.550,00030 00:50:30,2018-361T02:41:16.251Z,744.7693,2.0,,
599150462.000,599150448.399,00030M01:40:04.036,00030 00:50:31,2018-361T02:41:16.751Z,744.7255,2.0,,
599150462.500,599150448.899,00030M01:40:04.523,00030 00:50:31,2018-361T02:41:17.251Z,744.6883,2.0,,
599150463.000,599150449.399,00030M01:40:05.010,00030 00:50:32,2018-361T02:41:17.751Z,744.7554,2.0,,
599150463.500,599150449.899,00030M01:40:05.496,00030 00:50:32,2018-361T02:41:18.251Z,744.7805,2.0,,
599150464.000,599150450.399,00030M01:40:05.983,00030 00:50:33,2018-361T02:41:18.751Z,744.7486,2.0,,
599150464.500,599150450.899,00030M01:40:06.469,00030 00:50:33,2018-361T02:41:19.251Z,744.7704,2.0,281.1764,0.2
599150465.000,599150451.399,00030M01:40:06.956,00030 00:50:34,2018-361T02:41:19.751Z,744.7733,2.0,,
599150465.500,599150451.899,00030M01:40:07.443,00030 00:50:34,2018-361T02:41:20.251Z,744.7866,2.0,,
599150466.000,599150452.399,00030M01:40:07.929,00030 00:50:35,2018-361T02:41:20.751Z,744.7996,2.0,,
599150466.500,599150452.899,00030M01:40:08.416,00030 00:50:35,2018-361T02:41:21.251Z,744.7780,2.0,,
599150467.000,599150453.399,00030M01:40:08.903,00030 00:50:36,2018-361T02:41:21.751Z,744.7806,2.0,,
599150467.500,599150453.899,00030M01:40:09.389,00030 00:50:36,2018-361T02:41:22.251Z,744.7662,2.0,,
599150468.000,599150454.399,00030M01:40:09.876,00030 00:50:37,2018-361T02:41:22.751Z,744.7632,2.0,,
599150468.500,599150454.899,00030M01:40:10.362,00030 00:50:37,2018-361T02:41:23.251Z,744.7778,2.0,,
599150469.000,599150455.399,00030M01:40:10.849,00030 00:50:37,2018-361T02:41:23.751Z,744.7705,2.0,,
599150469.500,599150455.899,00030M01:40:11.336,00030 00:50:38,2018-361T02:41:24.251Z,744.7816,2.0,281.1755,0.2
599150470.000,599150456.399,00030M01:40:11.822,00030 00:50:38,2018-361T02:41:24.751Z,744.7910,2.0,,
599150470.500,599150456.899,00030M01:40:12.309,00030 00:50:39,2018-361T02:41:25.251Z,744.7761,2.0,,
